Key,SP,SPn,PE,DJ,DJn,Gold,Goldn,Oil,Oiln,Libor,SPYTD
14-03,1954.72,1872.34,18.5656,17181.8,16457.66,1348.59,1291.75,106.04,101.57,11.710000000000006,0
14-02,1954.28,1859.45,18.4378,17154.12,16321.71,1394.15,1326.5,108.13,102.88,11.060000000000002,0
22-12,0,0,0,1432.79,98.17,304.16,20.84,0,0,0,0
03-12,1487.75,1111.92,22.8133,13987.34,10453.92,543.38,406.11,43.5,32.51,31.42,0
22-10,0,0,0,1419.54,96.11,307.81,20.84,0,0,0,0
19-08,0,0,0,1459.8,104.75,279.14,20.03,0,0,0,0
19-09,0,0,0,1543.95,111.42,277.56,20.03,0,0,0,0
19-06,0,0,0,1561.37,106.98,292.34,20.03,0,0,0,0
19-07,0,0,0,1519.1,107.16,283.95,20.03,0,0,0,0
19-04,0,0,0,1371.84,92.88,295.84,20.03,0,0,0,0
19-05,0,0,0,1539.77,105.5,292.34,20.03,0,0,0,0
19-02,0,0,0,1291.32,84.81,304.98,20.03,0,0,0,0
51-08,221.72,23.28,9.2749,2573.86,270.25,333.34,35.0,24.48,2.57,0,0
19-01,0,0,0,1205.04,80.61,299.43,20.03,0,0,0,0
15-11,2161.55,2080.41,24.0426,18411.0,17719.92,1103.31,1061.9,42.01,40.43,19.61,0
15-10,2156.3,2079.36,24.0305,18317.09,17663.54,1184.62,1142.35,48.32,46.6,18.45,0
51-09,219.83,23.26,9.2669,2562.73,271.16,330.79,35.0,24.29,2.57,0,0
16-09,2215.97,2168.27,24.338,18710.93,18308.15,1346.08,1317.1,49.3,48.24,34.2325,0
24-11,0,0,0,1593.29,111.1,298.01,20.78,0,0,0,0
88-07,566.35,272.02,11.9674,4432.02,2128.73,911.0,437.56,34.08,16.37,182.01,0
26-04,0,0,0,1980.32,143.71,285.52,20.72,0,0,0,0
92-06,717.92,408.14,23.9378,5837.24,3318.5,599.75,340.96,38.42,21.84,100.17000000000002,0
10-01,1222.06,1073.87,17.6247,11456.62,10067.33,1227.33,1078.5,82.9,72.85,17.990000000000006,0
81-09,307.53,116.18,7.6084,2249.9,849.98,1175.53,444.1,95.29,36.0,0,0
63-09,576.11,71.7,18.1061,5887.97,732.79,283.72,35.31,23.86,2.97,0,0
63-08,582.54,72.5,18.3081,5860.09,729.32,283.72,35.31,23.86,2.97,0,0
29-12,307.61,21.45,13.323,3563.45,248.48,297.15,20.72,0,0,0,0
91-08,714.15,395.43,22.1902,5496.74,3043.6,642.72,355.88,40.24,22.28,129.71999999999997,0
29-10,344.33,24.15,15.0,3899.71,273.51,295.43,20.72,0,0,0,0
29-11,298.28,20.92,12.9938,3406.95,238.95,295.43,20.72,0,0,0,0
